voted_for,gender,education,age
Biden,Male,4-year,34
Biden,Female,4-year,80
Trump,Female,4-year,54
Biden,Female,Some college,32
Biden,Female,4-year,57
Biden,Male,4-year,40
Trump,Female,2-year,67
Trump,Female,High school graduate,46
Biden,Male,Post-grad,77
Trump,Female,High school graduate,24
Trump,Female,Some college,31
Trump,Female,4-year,56
Trump,Female,No HS,43
Biden,Male,Some college,59
Trump,Male,4-year,67
Biden,Female,High school graduate,27
Biden,Female,Post-grad,53
Biden,Male,Some college,43
Trump,Female,4-year,73
Biden,Female,Post-grad,73
Biden,Male,4-year,77
Biden,Female,Post-grad,74
Trump,Female,Post-grad,77
Trump,Male,4-year,41
Biden,Female,Post-grad,44
Biden,Female,Post-grad,69
Biden,Female,2-year,59
Biden,Female,4-year,69
Trump,Female,High school graduate,88
Biden,Female,4-year,54
Trump,Male,High school graduate,46
Trump,Female,4-year,62
Biden,Female,4-year,67
Trump,Female,4-year,69
Biden,Male,4-year,59
Biden,Female,2-year,26
Biden,Female,High school graduate,86
Biden,Male,4-year,55
Biden,Female,4-year,31
Trump,Male,Post-grad,54
Trump,Male,4-year,70
Biden,Female,4-year,39
Biden,Female,High school graduate,63
Biden,Female,Post-grad,75
Biden,Female,Post-grad,52
Trump,Non-binary,Some college,29
Biden,Female,High school graduate,63
Trump,Male,4-year,70
Biden,Male,Some college,54
Trump,Male,High school graduate,65
Biden,Female,4-year,63
Biden,Male,High school graduate,43
Biden,Male,4-year,27
Biden,Female,4-year,69
Biden,Male,Post-grad,25
Biden,Female,4-year,68
Trump,Female,2-year,44
Biden,Female,4-year,69
Biden,Male,4-year,32
Biden,Male,Post-grad,54
Trump,Female,4-year,60
Biden,Female,4-year,70
Trump,Female,Some college,78
Trump,Female,Post-grad,66
Biden,Female,Post-grad,65
Trump,Male,4-year,74
Biden,Male,Some college,61
Biden,Female,Some college,69
Biden,Male,4-year,89
Biden,Female,Some college,59
Trump,Female,Post-grad,52
Biden,Female,Some college,76
Biden,Female,High school graduate,47
Trump,Female,4-year,53
Biden,Female,4-year,50
Trump,Female,4-year,58
Biden,Female,Post-grad,46
Trump,Male,Post-grad,80
Biden,Male,Post-grad,27
Biden,Female,Post-grad,48
Biden,Female,4-year,49
Biden,Male,Post-grad,68
Biden,Male,Post-grad,28
Trump,Female,High school graduate,59
Trump,Male,Post-grad,63
Trump,Male,Some college,74
Biden,Female,4-year,31
Biden,Female,High school graduate,42
Biden,Male,Post-grad,67
Trump,Female,Post-grad,64
Biden,Female,4-year,34
Biden,Male,4-year,43
Biden,Male,4-year,46
Biden,Male,High school graduate,24
Trump,Male,4-year,57
Biden,Female,Some college,58
Biden,Female,Some college,46
Trump,Female,Some college,70
Trump,Male,Some college,23
Trump,Female,4-year,58
Biden,Male,4-year,72
Biden,Female,2-year,85
Biden,Male,4-year,67
Trump,Female,Some college,65
Biden,Male,4-year,70
Trump,Female,4-year,66
Trump,Female,Post-grad,64
Biden,Male,Post-grad,30
Biden,Female,Post-grad,65
Trump,Male,4-year,59
Biden,Female,4-year,24
Biden,Male,2-year,64
Biden,Female,4-year,41
Trump,Female,2-year,49
Biden,Female,2-year,28
Biden,Female,4-year,70
Trump,Male,4-year,57
Biden,Female,High school graduate,41
Trump,Male,Some college,66
Biden,Male,Some college,61
Trump,Male,Post-grad,77
Biden,Male,High school graduate,24
Biden,Female,Post-grad,47
Trump,Female,Some college,61
Trump,Female,Some college,62
Biden,Female,2-year,51
Trump,Female,Some college,88
Biden,Male,Post-grad,73
Biden,Female,2-year,44
Biden,Female,4-year,50
Biden,Female,4-year,29
Biden,Female,4-year,36
Biden,Male,4-year,31
Biden,Female,4-year,29
Biden,Male,4-year,31
Biden,Female,High school graduate,56
Biden,Female,4-year,71
Trump,Male,Post-grad,66
Biden,Female,2-year,24
Trump,Male,Some college,52
Trump,Female,4-year,71
Trump,Male,Post-grad,76
Biden,Female,Post-grad,55
Trump,Male,4-year,75
Biden,Male,4-year,26
Trump,Female,4-year,62
Biden,Male,2-year,59
Biden,Female,High school graduate,49
Trump,Male,4-year,87
Biden,Male,Some college,22
Biden,Male,2-year,62
Biden,Female,Some college,22
Biden,Female,4-year,36
Trump,Female,4-year,26
Biden,Female,2-year,76
Trump,Male,4-year,61
Trump,Male,High school graduate,42
Biden,Female,4-year,51
Biden,Female,4-year,48
Biden,Female,Post-grad,44
Trump,Male,Some college,75
Biden,Male,Post-grad,63
Biden,Male,Post-grad,71
Trump,Male,Post-grad,60
Trump,Male,Post-grad,70
Biden,Female,High school graduate,63
Biden,Female,Some college,63
Biden,Male,High school graduate,31
Trump,Female,4-year,57
Biden,Female,2-year,54
Biden,Female,Post-grad,42
Trump,Male,4-year,68
Biden,Female,Post-grad,58
Trump,Male,Post-grad,75
Biden,Male,High school graduate,30
Biden,Female,Some college,59
Trump,Female,Some college,31
Biden,Male,Post-grad,62
Trump,Female,Post-grad,68
Trump,Female,2-year,49
Biden,Male,4-year,39
Trump,Female,Some college,26
Trump,Female,4-year,60
Biden,Female,4-year,48
Trump,Male,Post-grad,74
Biden,Female,Some college,40
Trump,Female,Some college,61
Biden,Female,4-year,26
Biden,Female,Post-grad,84
Biden,Female,Post-grad,72
Trump,Female,Some college,58
Biden,Female,Post-grad,81
Biden,Female,Post-grad,81
Trump,Male,4-year,74
Biden,Female,4-year,52
Biden,Female,Some college,68
Biden,Female,Post-grad,35
Trump,Female,2-year,39
Biden,Female,4-year,57
Biden,Female,4-year,65
Trump,Male,Some college,39
Trump,Female,2-year,71
Biden,Male,Post-grad,70
Biden,Male,Post-grad,49
Biden,Female,Post-grad,70
Biden,Male,2-year,26
Trump,Female,4-year,66
Biden,Male,4-year,53
Trump,Male,4-year,28
Biden,Male,Some college,56
Trump,Male,4-year,72
Biden,Female,4-year,71
Biden,Female,4-year,64
Trump,Male,4-year,68
Trump,Female,Post-grad,62
Biden,Male,Post-grad,30
Trump,Female,High school graduate,22
Trump,Female,Some college,45
Biden,Female,4-year,40
Biden,Male,4-year,25
Biden,Female,4-year,46
Biden,Female,Some college,29
Biden,Male,Post-grad,52
Biden,Female,Some college,44
Biden,Female,Some college,75
Biden,Female,4-year,36
Trump,Female,Some college,51
Biden,Female,4-year,63
Trump,Male,Post-grad,56
Biden,Female,Some college,47
Biden,Female,Some college,69
Biden,Male,Some college,38
Biden,Non-binary,Some college,43
Biden,Female,Post-grad,48
Trump,Male,Post-grad,64
Trump,Male,4-year,62
Trump,Female,4-year,41
Trump,Female,Some college,67
Biden,Female,High school graduate,75
Trump,Female,Post-grad,63
Trump,Male,High school graduate,32
Biden,Female,Post-grad,46
Trump,Male,Some college,48
Biden,Male,High school graduate,22
Trump,Female,High school graduate,53
Biden,Female,2-year,76
Trump,Female,High school graduate,60
Trump,Female,Some college,62
Trump,Male,4-year,80
Trump,Female,High school graduate,60
Biden,Female,Post-grad,68
Biden,Female,4-year,36
Biden,Female,Post-grad,64
Trump,Female,Some college,74
Biden,Female,4-year,45
Trump,Female,Post-grad,66
Trump,Male,High school graduate,51
Biden,Male,Some college,30
Biden,Male,4-year,39
Biden,Female,Post-grad,59
Trump,Female,Post-grad,29
Trump,Female,4-year,73
Trump,Female,Some college,46
Biden,Male,Some college,22
Trump,Female,High school graduate,30
Biden,Male,4-year,74
Trump,Male,4-year,48
Biden,Female,Some college,61
Trump,Female,Post-grad,65
Trump,Female,Post-grad,67
Trump,Female,4-year,33
Trump,Male,High school graduate,67
Biden,Female,4-year,62
Trump,Male,Post-grad,47
Biden,Female,4-year,43
Trump,Male,Post-grad,75
Biden,Male,High school graduate,36
Trump,Male,High school graduate,56
Biden,Male,Post-grad,48
Biden,Male,Some college,25
Biden,Female,2-year,26
Trump,Male,4-year,65
Biden,Female,4-year,26
Trump,Female,Some college,62
Trump,Male,High school graduate,70
Trump,Female,2-year,83
Biden,Male,Some college,45
Trump,Male,Some college,38
Trump,Female,High school graduate,22
Biden,Male,Some college,57
Trump,Male,4-year,65
Biden,Male,4-year,60
Biden,Female,4-year,50
Biden,Female,Post-grad,74
Biden,Female,4-year,56
Biden,Male,Post-grad,48
Trump,Female,4-year,70
Biden,Female,2-year,71
Biden,Male,Some college,22
Biden,Female,Post-grad,57
Trump,Female,2-year,50
Trump,Male,Some college,39
Biden,Male,No HS,22
Biden,Female,High school graduate,77
Biden,Male,4-year,68
Biden,Female,High school graduate,24
Biden,Female,Post-grad,50
Biden,Male,4-year,64
Biden,Male,4-year,43
Biden,Female,4-year,60
Biden,Female,High school graduate,24
Trump,Female,2-year,30
Biden,Male,Post-grad,50
Biden,Female,Post-grad,62
Trump,Female,Some college,55
Trump,Female,Some college,63
Trump,Male,Post-grad,56
Trump,Female,Some college,28
Trump,Male,4-year,70
Biden,Male,2-year,40
Biden,Male,Post-grad,29
Trump,Male,High school graduate,62
Biden,Female,Post-grad,63
Trump,Female,Some college,71
Biden,Female,Post-grad,53
Biden,Male,High school graduate,22
Biden,Female,Post-grad,56
Biden,Female,Post-grad,55
Trump,Male,4-year,34
Trump,Male,4-year,59
Biden,Female,2-year,56
Biden,Male,4-year,40
Biden,Male,Post-grad,56
Biden,Female,4-year,38
Biden,Male,Some college,25
Biden,Female,Some college,47
Biden,Female,2-year,49
Biden,Female,Post-grad,39
Trump,Male,High school graduate,62
Biden,Female,4-year,46
Biden,Female,Some college,57
Trump,Female,Post-grad,64
Biden,Female,Some college,51
Biden,Male,4-year,48
Biden,Female,Post-grad,35
Trump,Male,Post-grad,29
Biden,Male,4-year,66
Trump,Female,Post-grad,32
Biden,Female,2-year,67
Biden,Male,4-year,61
Biden,Female,4-year,38
Biden,Female,High school graduate,36
Trump,Male,4-year,62
Trump,Female,2-year,63
Biden,Male,4-year,53
Biden,Male,2-year,27
Biden,Female,Post-grad,67
Biden,Female,2-year,46
Biden,Female,4-year,53
Biden,Male,2-year,66
Trump,Female,High school graduate,58
Biden,Female,4-year,42
Trump,Male,4-year,67
Biden,Male,4-year,67
Trump,Male,4-year,41
Biden,Female,2-year,50
Trump,Female,Some college,29
Biden,Male,4-year,28
Biden,Female,High school graduate,41
Trump,Female,Post-grad,66
Trump,Female,High school graduate,47
Biden,Male,Some college,35
Trump,Male,Some college,38
Trump,Male,Some college,38
Biden,Male,4-year,25
Trump,Female,2-year,61
Trump,Male,4-year,49
Biden,Male,Post-grad,80
Trump,Male,High school graduate,33
Trump,Male,4-year,60
Biden,Male,4-year,38
Trump,Male,4-year,24
Biden,Male,4-year,33
Biden,Female,Some college,46
Trump,Female,Some college,49
Biden,Male,Some college,56
Trump,Female,4-year,30
Biden,Male,4-year,64
Trump,Male,High school graduate,48
Trump,Male,Some college,70
Biden,Female,High school graduate,27
Trump,Male,Some college,43
Trump,Female,2-year,31
Biden,Male,4-year,61
Biden,Male,Some college,64
Biden,Female,Some college,53
Trump,Male,4-year,65
Biden,Female,2-year,44
Biden,Female,2-year,53
Trump,Female,High school graduate,30
Biden,Female,Some college,23
Trump,Female,High school graduate,63
Biden,Female,Some college,54
Trump,Male,4-year,57
Biden,Male,Post-grad,66
Biden,Male,4-year,77
Trump,Female,Some college,75
Biden,Female,Post-grad,83
Trump,Male,4-year,75
Trump,Female,Some college,58
Biden,Male,4-year,60
Biden,Male,2-year,26
Biden,Male,4-year,40
Biden,Female,High school graduate,59
Trump,Male,Some college,60
Biden,Male,Some college,28
Biden,Male,4-year,43
Biden,Female,4-year,58
Biden,Male,4-year,28
Biden,Female,4-year,61
Trump,Female,4-year,34
Trump,Male,High school graduate,30
Biden,Female,Some college,57
Biden,Female,4-year,29
Trump,Male,4-year,62
Biden,Male,Some college,69
Biden,Female,Some college,49
Trump,Female,High school graduate,30
Biden,Male,4-year,33
Biden,Female,Post-grad,77
Trump,Male,2-year,73
Trump,Male,High school graduate,76
Trump,Male,Some college,61
Trump,Male,Some college,30
Biden,Male,4-year,38
Biden,Female,Post-grad,63
Trump,Female,2-year,62
Biden,Male,4-year,64
Biden,Female,4-year,37
Trump,Female,Some college,77
Trump,Female,4-year,31
Biden,Female,Some college,69
Trump,Male,High school graduate,46
Trump,Female,Some college,30
Trump,Male,High school graduate,59
Biden,Male,High school graduate,67
Biden,Female,High school graduate,29
Biden,Male,High school graduate,30
Biden,Male,High school graduate,23
Biden,Female,High school graduate,25
Biden,Female,4-year,40
Trump,Male,High school graduate,23
Trump,Male,4-year,48
Biden,Male,4-year,40
Trump,Male,High school graduate,70
Trump,Male,4-year,52
Trump,Male,Some college,65
Biden,Female,High school graduate,60
Biden,Female,Some college,35
Biden,Female,High school graduate,33
Biden,Female,High school graduate,28
Trump,Female,Post-grad,45
Biden,Female,No HS,49
Trump,Male,High school graduate,32
Biden,Male,2-year,67
Biden,Female,2-year,67
Biden,Male,4-year,59
Biden,Female,High school graduate,25
Biden,Male,Post-grad,62
Biden,Female,High school graduate,26
Biden,Female,High school graduate,33
Biden,Male,4-year,51
Trump,Male,4-year,58
Biden,Female,4-year,64
Biden,Male,4-year,69
Biden,Female,4-year,44
Biden,Male,4-year,25
Biden,Female,High school graduate,55
Trump,Male,4-year,38
Biden,Male,High school graduate,37
Trump,Male,4-year,44
Trump,Male,2-year,55
Trump,Female,Post-grad,49
Biden,Male,High school graduate,24
Biden,Male,Post-grad,32
Biden,Female,High school graduate,63
Trump,Male,High school graduate,37
Biden,Male,4-year,62
Biden,Male,High school graduate,65
Biden,Female,Some college,28
Biden,Male,High school graduate,48
Biden,Male,Some college,34
Biden,Male,4-year,66
Trump,Female,Some college,66
Trump,Female,High school graduate,82
Biden,Female,4-year,35
Biden,Male,4-year,32
Trump,Male,4-year,39
Biden,Male,No HS,53
Trump,Female,High school graduate,71
Biden,Female,High school graduate,47
Trump,Male,Some college,61
Trump,Female,High school graduate,45
Trump,Male,4-year,54
Biden,Female,Some college,30
Biden,Male,4-year,62
Trump,Female,Some college,40
Biden,Female,4-year,41
Trump,Female,2-year,44
Biden,Female,4-year,30
Trump,Female,High school graduate,31
Trump,Female,No HS,34
Trump,Male,2-year,40
Trump,Male,2-year,60
Biden,Male,4-year,39
Biden,Male,4-year,73
Trump,Male,Some college,39
Biden,Male,4-year,38
Trump,Male,High school graduate,41
Biden,Female,4-year,63
Biden,Female,Post-grad,56
Trump,Female,4-year,30
Trump,Male,Post-grad,59
Trump,Female,2-year,37
Trump,Female,High school graduate,42
Biden,Male,4-year,62
Trump,Female,4-year,41
Trump,Female,High school graduate,67
Biden,Female,Some college,23
Trump,Female,Some college,39
Biden,Female,High school graduate,38
Trump,Male,High school graduate,82
Biden,Female,Some college,31
Biden,Female,Some college,25
Trump,Male,4-year,43
Biden,Male,4-year,37
Biden,Female,4-year,58
Biden,Female,High school graduate,22
Trump,Female,High school graduate,45
Biden,Female,Some college,45
Trump,Male,4-year,66
Biden,Male,2-year,25
Biden,Female,Post-grad,73
Trump,Female,High school graduate,43
Biden,Female,Some college,40
Biden,Male,4-year,55
Trump,Male,No HS,35
Trump,Male,4-year,74
Biden,Male,High school graduate,64
Biden,Female,Post-grad,30
Biden,Male,4-year,57
Trump,Female,2-year,25
Biden,Female,Post-grad,60
Biden,Female,Some college,73
Biden,Female,Some college,38
Biden,Male,Some college,27
Biden,Female,4-year,27
Trump,Male,High school graduate,42
Biden,Female,High school graduate,40
Trump,Male,High school graduate,45
Trump,Male,4-year,66
Biden,Female,4-year,25
Trump,Male,2-year,37
Biden,Female,Post-grad,30
Trump,Male,4-year,25
Biden,Male,4-year,43
Trump,Male,4-year,61
Biden,Female,4-year,69
Trump,Male,Some college,25
Biden,Female,No HS,60
Biden,Male,No HS,40
Trump,Female,2-year,41
Biden,Female,Some college,40
Biden,Female,Some college,24
Biden,Male,Some college,55
Trump,Male,High school graduate,34
Biden,Male,High school graduate,68
Biden,Female,Some college,43
Biden,Male,High school graduate,22
Biden,Male,Some college,41
Trump,Female,High school graduate,25
Biden,Female,Some college,22
Biden,Female,4-year,29
Trump,Male,4-year,54
Trump,Female,High school graduate,61
Biden,Female,High school graduate,27
Trump,Male,2-year,24
Trump,Female,2-year,25
Trump,Male,Some college,23
Biden,Male,High school graduate,48
Biden,Female,4-year,35
Biden,Female,4-year,28
Biden,Male,High school graduate,45
Biden,Female,4-year,35
Biden,Male,4-year,66
Trump,Male,Some college,53
Trump,Male,4-year,57
Biden,Male,Post-grad,37
Biden,Female,4-year,63
Biden,Female,2-year,23
Biden,Male,Some college,28
Trump,Male,4-year,37
Biden,Male,High school graduate,29
Biden,Male,High school graduate,81
Biden,Male,High school graduate,46
Biden,Male,High school graduate,24
Biden,Male,4-year,35
Trump,Male,High school graduate,26
Biden,Female,4-year,34
Biden,Male,High school graduate,46
Biden,Female,High school graduate,37
Biden,Female,2-year,39
Biden,Female,High school graduate,41
Biden,Female,Post-grad,29
Biden,Female,4-year,25
Trump,Male,High school graduate,25
Trump,Female,High school graduate,43
Biden,Female,High school graduate,23
Biden,Male,High school graduate,25
Biden,Female,2-year,44
Trump,Female,4-year,60
Trump,Female,4-year,40
Biden,Female,Some college,48
Trump,Male,Some college,66
Trump,Male,Some college,41
Trump,Male,Some college,42
Biden,Male,4-year,46
Biden,Male,High school graduate,59
Biden,Male,Some college,46
Biden,Male,High school graduate,77
Biden,Male,Post-grad,76
Biden,Male,4-year,35
Biden,Male,Some college,60
Trump,Female,No HS,38
Trump,Male,4-year,39
Biden,Female,Some college,28
Biden,Female,High school graduate,24
Biden,Male,4-year,59
Biden,Female,Some college,57
Biden,Male,Some college,27
Biden,Male,2-year,37
Biden,Male,Some college,37
Biden,Female,Post-grad,76
Biden,Male,4-year,28
Biden,Male,Some college,22
Biden,Male,4-year,27
Biden,Male,4-year,40
Biden,Non-binary,Some college,22
Biden,Female,High school graduate,60
Biden,Female,4-year,33
Biden,Male,Some college,29
Biden,Female,High school graduate,58
Trump,Female,4-year,27
Trump,Male,4-year,47
Biden,Male,Post-grad,50
Biden,Male,High school graduate,39
Biden,Female,Some college,24
Biden,Female,Some college,24
Biden,Male,Some college,36
Biden,Male,High school graduate,31
Biden,Female,No HS,29
Biden,Male,High school graduate,29
Biden,Male,Post-grad,73
Biden,Female,High school graduate,28
Biden,Male,High school graduate,29
Biden,Male,4-year,27
Biden,Male,4-year,28
Trump,Male,High school graduate,47
Trump,Female,High school graduate,58
Trump,Male,High school graduate,31
Trump,Female,High school graduate,64
Biden,Female,High school graduate,48
Biden,Male,High school graduate,43
Biden,Female,4-year,33
Biden,Male,4-year,39
Biden,Male,Some college,37
Trump,Male,2-year,76
Trump,Female,High school graduate,35
Biden,Male,4-year,43
Trump,Female,4-year,27
Trump,Male,Post-grad,66
Biden,Female,4-year,30
Trump,Male,High school graduate,43
Biden,Female,4-year,63
Biden,Male,4-year,27
Biden,Male,Some college,31
Trump,Male,4-year,30
Trump,Female,2-year,40
Biden,Female,4-year,29
Trump,Male,High school graduate,32
Biden,Male,2-year,59
Biden,Male,Some college,24
Trump,Male,4-year,39
Biden,Male,High school graduate,69
Biden,Male,Some college,24
Trump,Female,High school graduate,59
Trump,Male,High school graduate,24
Biden,Male,Some college,24
Biden,Male,High school graduate,43
Trump,Female,High school graduate,27
Biden,Male,4-year,52
Biden,Male,No HS,24
Biden,Female,4-year,41
Biden,Female,4-year,35
Biden,Female,High school graduate,40
Trump,Male,High school graduate,45
Biden,Male,2-year,63
Biden,Male,4-year,63
Biden,Female,High school graduate,68
Trump,Male,Some college,38
Trump,Male,4-year,65
Biden,Male,4-year,36
Biden,Female,2-year,64
Biden,Female,High school graduate,22
Biden,Female,4-year,44
Trump,Male,4-year,32
Trump,Male,4-year,64
Biden,Female,Post-grad,56
Biden,Male,4-year,38
Biden,Female,4-year,45
Biden,Female,No HS,74
Trump,Male,4-year,59
Biden,Male,4-year,63
Trump,Male,High school graduate,32
Biden,Female,4-year,65
Trump,Male,High school graduate,63
Trump,Female,2-year,27
Biden,Female,4-year,34
Trump,Male,2-year,26
Biden,Male,4-year,28
Biden,Non-binary,Post-grad,31
Trump,Female,No HS,38
Biden,Female,High school graduate,54
Biden,Female,4-year,29
Trump,Female,High school graduate,42
Trump,Male,High school graduate,41
Biden,Male,Some college,63
Trump,Male,High school graduate,68
Trump,Female,High school graduate,39
Trump,Female,High school graduate,46
Trump,Male,4-year,57
Biden,Male,Some college,80
Biden,Female,Some college,71
Biden,Male,Some college,24
Biden,Male,Some college,25
Biden,Male,Some college,25
Biden,Male,2-year,59
Trump,Female,High school graduate,60
Trump,Male,4-year,61
Trump,Male,4-year,28
Trump,Male,Post-grad,65
Biden,Male,4-year,57
Biden,Female,4-year,73
Trump,Male,2-year,63
Biden,Male,4-year,54
Trump,Male,High school graduate,39
Trump,Male,Post-grad,64
Biden,Female,4-year,42
Biden,Male,Some college,24
Biden,Female,High school graduate,24
Biden,Female,Some college,37
Biden,Female,Some college,40
Biden,Male,4-year,27
Biden,Female,2-year,24
Biden,Male,Post-grad,69
Biden,Female,Some college,46
Biden,Male,2-year,29
Trump,Female,Post-grad,31
Trump,Female,4-year,28
Biden,Female,4-year,66
Trump,Female,Some college,28
Biden,Female,4-year,26
Trump,Male,High school graduate,44
Biden,Female,Some college,25
Biden,Male,4-year,53
Biden,Male,2-year,33
Biden,Female,Post-grad,50
Biden,Female,Post-grad,77
Biden,Male,Some college,76
Trump,Female,4-year,52
Biden,Female,No HS,71
Trump,Male,Some college,64
Trump,Male,4-year,58
Trump,Male,High school graduate,25
Trump,Female,2-year,39
Biden,Female,4-year,30
Trump,Male,High school graduate,32
Trump,Female,Post-grad,28
Trump,Male,High school graduate,60
Trump,Female,High school graduate,58
Trump,Male,Some college,67
Biden,Male,4-year,39
Biden,Male,Some college,43
Trump,Male,4-year,44
Biden,Female,4-year,63
Biden,Male,2-year,66
Biden,Female,High school graduate,61
Trump,Male,Some college,45
Biden,Male,Some college,36
Biden,Male,Post-grad,74
Biden,Female,Post-grad,29
Biden,Female,4-year,48
Biden,Female,4-year,38
Trump,Female,Some college,30
Trump,Male,2-year,42
Biden,Female,4-year,30
Trump,Male,2-year,62
Trump,Male,4-year,63
Biden,Female,Some college,59
Biden,Male,2-year,77
Biden,Male,4-year,64
Trump,Female,Some college,29
Trump,Female,2-year,51
Biden,Male,2-year,76
Trump,Female,High school graduate,54
Trump,Female,Some college,44
Trump,Male,Some college,78
Trump,Male,No HS,88
Biden,Male,4-year,28
Biden,Female,2-year,59
Biden,Male,Some college,60
Trump,Male,High school graduate,68
Trump,Female,High school graduate,62
Biden,Female,4-year,43
Biden,Male,2-year,44
Trump,Male,Some college,81
Biden,Male,2-year,60
Trump,Female,High school graduate,29
Biden,Male,4-year,34
Trump,Female,High school graduate,66
Biden,Female,No HS,69
Biden,Male,4-year,26
Trump,Male,2-year,70
Trump,Male,Some college,46
Trump,Male,Some college,39
Biden,Female,Some college,71
Biden,Female,4-year,57
Trump,Male,Some college,76
Biden,Male,High school graduate,34
Biden,Female,High school graduate,33
Trump,Male,Some college,44
Trump,Male,High school graduate,71
Trump,Female,4-year,74
Biden,Male,Some college,70
Biden,Male,Some college,30
Trump,Male,High school graduate,64
Trump,Male,2-year,74
Biden,Male,Some college,28
Biden,Female,Some college,60
Biden,Male,2-year,74
Trump,Female,2-year,56
Biden,Male,2-year,32
Biden,Male,Some college,27
Trump,Male,Some college,72
Biden,Female,2-year,68
Biden,Male,Post-grad,62
Trump,Male,Some college,61
Biden,Female,4-year,67
Biden,Male,4-year,59
Trump,Male,2-year,68
Biden,Male,High school graduate,27
Biden,Male,High school graduate,23
Biden,Female,No HS,46
Trump,Male,Some college,63
Biden,Female,4-year,72
Trump,Female,2-year,36
Biden,Male,Post-grad,57
Biden,Male,Some college,74
Trump,Female,High school graduate,59
Trump,Male,2-year,30
Trump,Male,High school graduate,72
Biden,Male,2-year,44
Biden,Male,4-year,63
Biden,Male,4-year,25
Biden,Male,High school graduate,34
Biden,Male,2-year,37
Trump,Male,Post-grad,82
Biden,Male,2-year,68
Biden,Female,Some college,23
Biden,Female,4-year,25
Biden,Male,Some college,74
Trump,Female,4-year,30
Biden,Female,4-year,61
Biden,Female,4-year,35
Trump,Male,Some college,22
Trump,Female,4-year,46
Biden,Male,Some college,48
Biden,Female,4-year,25
Trump,Female,4-year,24
Biden,Female,4-year,59
Trump,Male,High school graduate,71
Trump,Female,4-year,79
Biden,Female,2-year,42
Trump,Male,High school graduate,28
Biden,Female,2-year,59
Biden,Male,4-year,27
Trump,Female,High school graduate,51
Trump,Male,No HS,52
Biden,Male,Some college,66
Trump,Male,2-year,67
Biden,Female,Post-grad,62
Trump,Female,No HS,47
Trump,Female,4-year,53
Trump,Female,4-year,72
Biden,Female,4-year,36
Biden,Male,High school graduate,37
Biden,Male,2-year,31
Biden,Male,High school graduate,39
Biden,Male,Some college,68
Biden,Female,High school graduate,31
Biden,Female,2-year,22
Trump,Male,No HS,49
Biden,Female,Some college,63
Biden,Male,Some college,76
Biden,Male,High school graduate,42
Trump,Female,High school graduate,39
Biden,Male,2-year,49
Trump,Female,High school graduate,88
Trump,Female,High school graduate,58
Trump,Female,High school graduate,64
Biden,Female,4-year,24
Biden,Female,2-year,50
Biden,Female,High school graduate,61
Trump,Male,High school graduate,31
Trump,Female,High school graduate,28
Trump,Female,High school graduate,51
Biden,Female,High school graduate,47
Biden,Female,High school graduate,45
Biden,Male,Some college,56
Biden,Female,High school graduate,25
Biden,Female,Post-grad,48
Biden,Male,2-year,37
Biden,Male,2-year,23
Trump,Female,4-year,57
Trump,Female,Some college,23
Biden,Male,Some college,40
Trump,Female,High school graduate,42
Biden,Female,High school graduate,65
Trump,Male,4-year,27
Trump,Male,Some college,69
Biden,Male,2-year,69
Trump,Female,Some college,66
Biden,Female,High school graduate,64
Trump,Male,2-year,42
Biden,Female,4-year,48
Biden,Male,4-year,41
Biden,Male,No HS,53
Trump,Female,High school graduate,68
Biden,Male,High school graduate,26
Biden,Female,2-year,30
Biden,Non-binary,Some college,48
Biden,Female,Some college,59
Biden,Male,2-year,81
Biden,Female,4-year,57
Trump,Female,4-year,67
Trump,Female,4-year,83
Biden,Female,High school graduate,32
Trump,Male,2-year,60
Trump,Female,High school graduate,45
Biden,Female,4-year,81
Trump,Male,4-year,29
Biden,Male,High school graduate,29
Biden,Female,Some college,27
Trump,Male,High school graduate,58
Biden,Male,Some college,47
Biden,Female,High school graduate,31
Trump,Male,High school graduate,66
Biden,Male,4-year,52
Biden,Female,4-year,40
Trump,Female,High school graduate,57
Trump,Male,2-year,62
Trump,Male,High school graduate,64
Biden,Other,Some college,22
Biden,Male,4-year,72
Biden,Male,2-year,69
Biden,Female,Some college,26
Biden,Male,4-year,37
Trump,Female,High school graduate,22
Biden,Female,2-year,74
Trump,Male,2-year,46
Biden,Male,Some college,44
Trump,Male,High school graduate,77
Biden,Male,High school graduate,69
Trump,Female,Some college,23
Trump,Female,High school graduate,84
Biden,Female,High school graduate,45
Trump,Male,High school graduate,29
Biden,Female,High school graduate,55
Trump,Male,2-year,82
Biden,Male,4-year,29
Biden,Male,Some college,68
Biden,Male,Post-grad,42
Biden,Female,High school graduate,27
Biden,Male,High school graduate,63
Trump,Male,High school graduate,44
Biden,Female,High school graduate,63
Trump,Female,4-year,25
Biden,Male,Some college,26
Biden,Male,High school graduate,65
Trump,Male,2-year,71
Biden,Female,High school graduate,39
Biden,Male,Post-grad,35
Biden,Female,4-year,28
Trump,Female,High school graduate,50
Biden,Male,Post-grad,37
Biden,Male,4-year,59
Biden,Female,4-year,49
Trump,Male,High school graduate,68
Biden,Male,High school graduate,43
Biden,Female,High school graduate,59
Trump,Male,High school graduate,28
Trump,Male,4-year,30
Biden,Male,Some college,41
Biden,Male,Post-grad,29
Biden,Male,2-year,70
Biden,Female,High school graduate,50
Biden,Female,High school graduate,51
Biden,Female,High school graduate,70
Trump,Female,No HS,51
